id,name,user_id,screen_name,follow_count,follower_count,profile_image_url,follow_flg,follower_flg,url,college,description
,"(絵)(絵)みづき(絵)(絵)",810031111396933632,mizuki_329_,209,330,,1,0,https://t.co/Fo57y9vAr5,"フェリス","フェリス演奏(絵)"
,haruka,829676734987374594,RY28478566,96,116,,1,0,https://t.co/IHE74OLUcG,"大妻","owu ❤︎ コミ文1B / jump / トプ画左 / 無言フォロー失礼します(絵)"
,Risa,820838494125731840,_atll,28,43,,1,0,,"大妻","'98 : owu : 短英☺︎ : (絵)(絵)‍♀️"
,Hiroca,808368521193263104,H_O916,66,105,,1,0,,"大妻","98'｜owu社臨｜tokyo"
,"☁️ a k a r i ☁️",829184261982941184,aka__ot_os,183,187,,1,0,https://t.co/tBTq2iDLk1,"大妻","【大学垢】春からowu 食専1A(絵)┊無言フォロー失礼します(絵)(絵)"
,"おおしま",754808950386679809,bomuheimario,187,192,,1,0,,"大妻","kggs→tr6d→owu / ｿﾌﾄﾎﾞｰﾙ / MMA / t7s"
,"みゆ",841262764488187907,giants_haya_6,87,136,,1,0,,"家政","OWU 短家政専攻 1B(絵)⚠️アカウント移行中！変更お願いします→【@miiyu_official】"
,"しげずみ栞",3591999492,shi_____yan7,176,221,,1,0,https://t.co/BsWQJlJaUI,"大妻",owu
,"田畑咲貴",1627594765,taba2528,486,493,,1,0,https://t.co/XrQAdb5lsG,"聖心","素直に生きる。 fashion♡Kurihama→Zushi→Bxart.B1C"
,Emiri,825482797435400197,m_emiri_a,58,117,,1,0,,"大妻","owu 1A"
,KYOKA,809988851619856385,WH2yx,396,356,,1,0,,"大妻","大妻2年(絵)：学生団体OASIS @OASISuniversity／本垢 @Kyon_azusa ／岩田剛典／片寄涼太／"
,"すずか",849595777676476418,suzuka_ferris,135,151,,1,0,,"フェリス","フェリス女学院の日文1年です(絵)/邦ROCK/トプ左⇦           学部、学科を問わずフォローしてくれると嬉しいです(絵)"
,"実践女子大学日野キャンパス学友会",2646923280,jissen_gakuyuu,239,362,,1,0,,"実践","実践女子大学日野キャンパス学友会執行委員会の公式twitterアカウントです。みなさんのキャンパスライフをさらに楽しくするため日々活動しています。ぜひフォローしてください♪ gakuyuu-hino@jissen.ac.jp"
,"ラッシュジャパン  Lush Japan",95840277,LUSHJAPAN,138,66551,,1,0,https://t.co/O3Va0vr6AN,"聖心","ラッシュジャパン公式Twitterアカウント 【LINE ID @lushjapanで検索 】"
,madoka,824173849637949441,madoka_owu,38,141,,1,0,,"大妻","大妻女子大学人間福祉学専攻1-A"
,"みぃちゃん",834562497873055745,ara_mii17k,312,328,,1,0,,"大妻","千葉明徳➭owu(絵)社会情報学部情報デザイン科1B➭セクガル(絵)(絵)(絵)➭(絵)(絵)love   新体操12年間。✺◟(∗❛ัᴗ❛ั∗)◞✺cheerleader"
,"さけ(右の人)",3833894953,s_charlie_02,63,82,,1,0,,"昭和女","swu 環デ 1C アニメ 声優 本垢(@chapi_choru)"
,"しおり@大学専用",4452962354,sn0623_,107,176,,1,0,,"大妻","高３です！ 大学の友達と繋がる用のアカウント作りました！！ 本垢«@shiorinosio »next☞大妻女子大学 人間総合学部 ラブライブ大好き♡ちょっとﾚｲﾔｰやってます(ﾎﾞｿｯ"
,"佐藤 彩加",1249665078,ayaka04192,341,527,,1,0,,"大妻","東京 / LJK / 旭小 / 多摩大学目黒中 / 多摩大学目黒高 / 春から大妻女子大 社環 楽しい事大好き(絵)"
,"すがわらなみ",2243788854,08NamI22,446,590,,1,0,https://t.co/CHbLsjFXAb,"実践","実践英コミ観光☀️Disney / L'arc / OOR / 白石麻衣"
,Natsuki,4921393213,nanablue_0812,72,243,,1,0,,"大妻","春からowu 比較文化 ▷無言フォローすみません。▷Arasick Satoshi Ohno/Taylor Swift ❤︎follow me❤︎"
,halu..,2853638209,ican_bt,590,734,,1,0,https://t.co/B1NeytDJf2,"大妻","八王子2→SG .baton&cheer #51 →owu短家専1Ｂ ◎2HF◎Mio◎Happyset◎"
,"みか",4407277634,mk_s150,96,181,,1,0,,"清泉","大学アカウント⁑ 春から清泉女子大 地球市民学科 ⁑ 本垢もfollowお願いします❤︎≫@mkka2918"
